frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,hip.Center_x,hip.Center_y,hip.Center_z
1,-1.15353145,-8.5849872,-6.9347999,-1.00999298,-4.5287366,-3.0626283,-0.65107907,-0.042198658,-2.35212099,1.53783619,-0.22164893600000002,-2.6706148,1.21483289,-4.708201160000001,-3.40622508,0.92805778,-8.7285128,-6.880139899999999,-1.65655362,0.352101805,-0.428527238,-1.58438671,3.04403806,-1.94541582,-0.9387101199999999,5.879118899999999,-2.1336706,2.61458026,5.7359335,-3.22269469,2.8299842299999995,2.79292346,-1.8149983299999999,2.65050566,0.029047251,-0.8569635999999999,0.83793507,5.807526399999999,-2.9849313200000003,1.01818143,9.8988706,-3.5999180500000003,0.92805778,7.8531983,-3.06779295,0.44337807399999996,-0.13192367500000002,-2.48814264
2,-1.15056632,-8.542415100000001,-6.754870399999999,-1.00724005,-4.52711344,-2.8667502999999996,-0.64875053,-0.045882942,-2.32633691,1.5376169899999999,-0.225120791,-2.7022591400000002,1.2511189100000002,-4.706379660000001,-3.3225704300000003,0.9284899500000001,-8.649662000000001,-6.927175099999999,-1.6168710800000001,0.34799313499999995,-0.414199801,-1.5449163599999998,3.0367448400000003,-1.93985915,-0.8998906599999998,5.904707599999999,-2.11730312,2.6491677599999996,5.7254558,-3.24137809,2.8643590899999998,2.8221213599999997,-1.7738812899999998,2.6850931599999996,0.061429499,-0.83926585,0.87463881,5.8150819999999985,-2.9916083,0.98234107,9.9378221,-3.616500060000001,0.9284899500000001,7.8764520000000005,-3.0955835,0.4444329939999999,-0.135501862,-2.4884310999999997
3,-1.16141758,-8.5036006,-6.754115099999999,-1.01856672,-4.53477664,-2.7991113599999995,-0.6610423200000001,-0.06560394000000001,-2.30583185,1.55491867,-0.20896765699999997,-2.7254963400000003,1.2693857000000002,-4.713567160000002,-3.4221793000000003,0.9118479800000002,-8.610372100000001,-7.102564699999999,-1.5908962100000001,0.36269144,-0.31936976100000003,-1.5194173899999996,3.0442250400000006,-1.8492462,-0.8758326799999999,5.9044661,-2.11378776,2.663588,5.7257038,-3.23351909,2.87830299,2.8300772599999995,-1.77515703,2.7349113999999997,0.041218789,-0.85432091,0.8938778900000001,5.815085199999999,-2.9875922400000006,1.00061454,9.9267603,-3.6004020300000006,0.9472464600000002,7.8709227,-3.0805023599999997,0.44693842399999983,-0.137285915,-2.4888568799999993
4,-1.2014402499999999,-8.4739067,-6.704250999999999,-1.02369731,-4.52889056,-2.6512594199999997,-0.6682404700000001,-0.08560774000000003,-2.2887760700000004,1.57017764,-0.19305965699999997,-2.74484334,1.2508002,-4.7066470600000025,-3.5143354700000002,0.8953305200000004,-8.615569800000001,-7.1275329,-1.5929106600000003,0.37549762,-0.278403161,-1.5214318399999995,3.041494680000001,-1.8151998,-0.8819832200000001,5.885165199999999,-2.09734078,2.7075345,5.7074369,-3.2386955700000004,2.8852768899999996,2.828380889999999,-1.7630134099999997,2.7429324999999998,0.056106595,-0.8256482199999999,0.91277607,5.796301399999999,-2.9802115400000004,1.01846464,9.9539242,-3.5938809700000003,0.9656206000000003,7.8751126,-3.055054899999999,0.4509688239999998,-0.139333697,-2.4896016999999993
5,-1.2394977299999999,-8.482291400000001,-6.717745,-1.02835615,-4.531300959999999,-2.7257604199999994,-0.67551525,-0.08596750200000003,-2.2644154100000007,1.58194202,-0.19211169399999997,-2.7652848399999996,1.2651809800000002,-4.707749510000003,-3.6714911299999997,0.9123262800000003,-8.6226465,-7.3310358,-1.5923386200000005,0.372521927,-0.266077786,-1.4861531999999995,3.053634740000001,-1.7862589,-0.8519359500000001,5.8764202999999995,-2.10090636,2.7114654,5.7,-3.2594752400000004,2.9226197999999997,2.807122529999999,-1.8040610099999999,2.7815833499999996,0.055746832999999996,-0.82912451,0.9297646800000001,5.788210399999999,-2.999247090000001,1.1048797799999999,9.9157795,-3.58583106,1.0173224700000003,7.851994799999999,-3.0756489499999993,0.45321362499999973,-0.139039717,-2.489853129999999
6,-1.2867650999999998,-8.509063000000001,-6.8094522,-1.0404806,-4.56064069,-2.8310780699999993,-0.6526245900000001,-0.08294738100000003,-2.2052126800000007,1.56807661,-0.18897760699999996,-2.8180858399999997,1.2515440100000002,-4.736961210000002,-3.88426493,0.8989181800000003,-8.649317100000001,-7.454547500000001,-1.6041202500000002,0.33994162299999997,-0.30564716399999997,-1.4979348299999993,3.0193132400000007,-1.8479919200000001,-0.8289446800000002,5.8402433,-2.05566409,2.732144,5.663951000000001,-3.2803736100000003,2.9431849,2.808287029999999,-1.8587436199999998,2.8022619499999997,0.023395411999999997,-0.88868147,0.9516000900000001,5.7520973999999985,-2.9638539700000006,1.1267151899999999,9.947512199999998,-3.5373999599999992,1.0391578800000003,7.8498047999999985,-3.0087875599999996,0.4577265049999998,-0.135962614,-2.490195589999999
7,-1.3291798599999998,-8.499201900000001,-6.8706538,-1.04798563,-4.52792048,-2.9631436299999994,-0.66127164,-0.06461910800000002,-2.2266071400000005,1.5880283400000001,-0.20555929199999992,-2.79260355,1.2010769100000003,-4.739165510000002,-3.9242610899999995,0.8495930900000005,-8.6749513,-7.5086008,-1.6098834000000002,0.357127393,-0.341310444,-1.5397783299999994,3.0278754500000007,-1.9022344100000002,-0.8370066600000003,5.8396105,-2.09753629,2.7125745500000003,5.663889300000001,-3.25675981,2.9585394799999998,2.781924979999999,-1.8667171699999996,2.7826924999999996,0.005657153000000002,-0.88588708,0.9377846000000002,5.751749999999999,-2.9778560300000008,1.18388978,9.933943499999998,-3.5321958099999997,1.0608371800000003,7.842846799999998,-3.0159331999999996,0.4633788409999998,-0.13508920300000002,-2.4898344299999993
8,-1.3793231,-8.4542036,-6.753449900000001,-1.06239803,-4.4791875800000005,-2.891778569999999,-0.639780596,-0.047191079000000025,-2.2466595400000005,1.57616797,-0.22368877299999992,-2.77157288,1.1888841900000002,-4.726149210000003,-3.793760419999999,0.8014969100000006,-8.665682899999998,-7.356813000000001,-1.62480077,0.375074213,-0.39466241399999996,-1.5545368999999993,3.048373850000001,-1.9782393600000003,-0.8156882200000004,5.8628331,-2.0944389699999997,2.73729465,5.651381500000001,-3.2275245100000003,2.9834331799999996,2.766692779999999,-1.8288266299999998,2.7720145999999994,0.023271864000000003,-0.8582470299999999,0.9608039100000002,5.757107499999999,-2.9533050500000004,1.1361121299999999,9.978779299999998,-3.5381114799999995,1.0484580100000003,7.867943499999997,-3.03773124,0.4681934559999998,-0.13543980900000002,-2.4894073399999996
9,-1.4382730799999999,-8.464680699999999,-7.0382659,-1.0872231499999998,-4.49847793,-3.2381389599999992,-0.630863776,-0.007043388000000025,-2.25507733,1.58011758,-0.25254395099999993,-2.75269988,1.1245693100000003,-4.779565100000003,-3.887468579999999,0.7724713200000006,-8.744794499999998,-7.459811100000001,-1.64849055,0.379577603,-0.33911648799999994,-1.5782266799999993,3.0471301100000003,-2.0218543200000005,-0.8408962400000004,5.8554727,-2.15695274,2.70403995,5.6444043000000015,-3.27280317,2.9843171799999997,2.731323249999999,-1.9704067699999996,2.7732685999999993,-0.005966450999999998,-0.9418498799999998,0.9315723300000002,5.749938599999998,-3.0180180500000002,1.1755145699999998,9.893013899999998,-3.59037704,1.0535434500000003,7.8214764999999975,-3.0878395999999997,0.4746269019999998,-0.12979367100000003,-2.4877984399999997
10,-1.47954575,-8.3990566,-7.0731955,-1.0911127399999998,-4.44799003,-3.2051684899999993,-0.6329781059999999,-0.004608773000000026,-2.2826557800000002,1.58957037,-0.25099672999999995,-2.7273681400000003,1.0966528500000001,-4.801166420000003,-3.8908744199999985,0.7427657700000005,-8.786853599999997,-7.407129600000001,-1.6559440200000002,0.41939530099999994,-0.24563020899999993,-1.5847932399999993,3.0299903100000005,-1.9998296000000004,-0.8438979500000005,5.8525634,-2.18907118,2.7188467,5.640607200000002,-3.24365397,3.00088534,2.7123941499999993,-1.9316190499999997,2.7889498499999994,-0.0035318359999999983,-0.9036579399999999,0.9374750700000002,5.746585299999999,-3.0207688,1.1831925799999998,9.910104399999998,-3.6277182999999997,1.0603335900000002,7.828345199999997,-3.10727115,0.47829661699999976,-0.127802514,-2.48750054
